iata,icao,airline
MJ,LPR,Líneas Aéreas Privadas Argentinas
LT,SNG,LongJiang Airlines
Q2,DQA,Maldivian (airline)
BF,MRK,MarkAir
WD,MWM,Modern Transporte Aereo De Carga
OD,MXD,Malindo Airways
AQ,MPJ,MAP-Management and Planung
M7,MAA,MasAir
MH,MWG,MASwings
IN,MAK,MAT Macedonian Airlines
OM,MGL,MIAT Mongolian Airlines
MB,MNB,MNG Airlines
CC,MCK,Macair Airlines
DM,DAN,*Maersk Air*
VB,MSK,Maersk Air UK
W5,IRM,Mahan Air
M2,MZS,Mahfooz Aviation
MH,MAS,Malaysia Airlines
DB,MLT,Maleth-Aero
TF,SCW,Malmö Aviation
R5,MAC,Malta Air Charter
MA,MAH,Malév Hungarian Airlines
RI,MDL,Mandala Airlines
AE,MDA,Mandarin Airlines
JE,MNO,Mango
6V,MRW,Mars RK
M7,MSL,Marsland Aviation
MP,MPH,Martinair
H5,MVL,Mavial Magadan Airlines
8M,MXL,Maxair
MY,MXJ,*Maxjet Airways*
MW,MYD,Maya Island Air
7M,MYI,Mayair
M8,MKN,*Mekong Airlines*
IM,MNJ,Menajet
IG,ISS,Meridiana
MZ,MNA,Merpati Nusantara Airlines
YV,ASH,Mesa Airlines
XJ,MES,Mesaba Airlines
GJ,MXC,Mexicargo
MX,MXA,Mexicana de Aviación
LL,BSK,Miami Air International
ME,MEA,Middle East Airlines
JI,MDW,Midway Airlines (1993–2003)
ML,MDW,Midway Airlines (1976–1991)
YX,MEP,Midwest Airlines
MY,MWA,Midwest Airlines (Egypt)
MJ,MLR,Mihin Lanka
M4,MSA,Mistral Air
MW,MUL,Mokulele Airlines
2M,MDV,Moldavian Airlines
ZB,MON,Monarch Airlines
YM,MGX,Montenegro Airlines
5M,MNT,Montserrat Airways
3R,GAI,Moskovia Airlines
M9,MSI,Motor Sich
NM,NZM,Mount Cook Airline
N4,MTC,Mountain Air Company
Z9,MYM,MYAirline
VZ,MYT,*MyTravel Airways*
UB,UBA,Myanma Airways
8M,MMA,Myanmar Airways International
M2,MHV,MHS Aviation GmbH
ZT,AWC,Titan Airways
6N,NIN,Niger Airlines
N5,FEY,Fly Easy
DV,ACK,Nantucket Airlines
UE,NAS,Nasair
N4,NCN,National Airlines
N7,ROK,National Airlines
NA,NAL,National Airlines
N8,NCR,National Air Cargo dba National Airlines
9Y,NAE,National Airways Ethiopia
IN,NIH,NAM Air
NC,NJS,National Jet Systems
CE,NTW,Nationwide Airlines
RA,RNA,Nepal Airlines
NO,NOS,Neos
1I,EJA,NetJets
EJ,NEA,New England Airlines
2N,NTJ,NextJet
HG,NLY,Niki
KZ,NCA,Nippon Cargo Airlines
DD,NOK,Nok Air
XW,NCT,NokScoot
5N,AUL,Nordavia
JH,NES,Nordeste Linhas Aéreas Regionais
6N,NRD,Nordic Regional
Y7,TYA,NordStar
N4,NWS,Nordwind Airlines
N0,NBT,Norse Atlantic Airways
NA,NAO,North American Airlines
M3,NFA,North Flying
HW,NWL,North-Wright Airways
NC,NAC,Northern Air Cargo
7H,RVF,Northern Pacific Airways
NW,NWA,Northwest Airlines
FY,NWR,Northwest Regional Airlines
J3,PLR,Northwestern Air
D8*,IBK,Norwegian Air International
DY,NOZ,Norwegian Air Shuttle
DI,NRS,Norwegian Air UK
DN,NAA,Norwegian Air Argentina
DU,NLH,Norwegian Long Haul
DH,NAN,Norwegian Air Norway
D8,NSZ,Norwegian Air Sweden
BJ,LBT,Nouvel Air Tunisie
O9,NOV,Nova Airline
1I,NVR,Novair
VQ,NVQ,Novo Air
N6,ACQ,*Nuevo Continente*
1I,NJE,NetJets Europe
IP,ONS,One Airlines
UQ,OCM,*O'Connor Airlines*
OB,AAN,*Oasis Airlines*
O8,OHK,*Oasis Hong Kong Airlines*
VC,VCX,Ocean Airlines
OL,OLT,OLT Express Germany
OA,OAL,Olympic Air
WY,OMA,Oman Air
OV,OMS,SalamAir
OE,LDM,Laudamotion
OY,OAE,Omni Air International
8Q,OHY,Onur Air
R2,ORB,Orenburg Airlines
OX,OEA,Orient Thai Airlines
QO,OGN,Origin Pacific Airways
ON,RON,Our Airline
OJ,OLA,Overland Airways
OZ,OZR,*Ozark Air Lines*
O7,OZJ,OzJet
OA,OAL,*Olympic Airlines*
OB,AAN,*Oasis International Airlines**Now assigned to Boliviana de Aviacion (BoA)*
OK,CSA,*Czech Airlines*
PV,PNR,PAN Air
9Q,PBA,PB Air
PU,PUA,PLUNA
U4,PMT,PMTair
OH,JIA,PSA Airlines
Y5,PCE,Pace Airlines
BL,PIC,Pacific Airlines
DJ,PBN,Pacific Blue
8P,PCO,Pacific Coastal Airlines
Q8,PEC,Pacific East Asia Cargo Airlines
LW,NMI,Pacific Wings
PK,PIA,Pakistan International Airlines
GP,PTP,Palau Trans Pacific Airlines
PF,PNW,Palestinian Airlines
NR,PIR,Pamir Airways
7N,PWD,PAWA Dominicana
PA,PAA,Pan American Airways
PA,PAA,Pan American World Airways
P8,PTN,Pantanal Linhas Aéreas
I7,PMW,Paramount Airways
P3,PTB,Passaredo Transportes Aéreos
HP,HPA,Pearl Airways
PC,PGT,Pegasus Airlines
PE,PEV,People's
KS,PEN,Peninsula Airways
P9,PGP,Perm Airlines
P9,PVN,Peruvian Airlines
Z2,EZD,Philippines AirAsia
PR,PAL,Philippine Airlines
9R,VAP,Phuket Air
PI,PDT,Piedmont Airlines (1948-1989)
9E,FLG,Pinnacle Airlines
OG,FPY,Play
PO,PAC,Polar Air Cargo
PH,PAO,Polynesian Airlines
DJ,PLB,Polynesian Blue
PD,POE,Porter Airlines
NI,PGA,Portugalia
M4,MSA,Poste Air Cargo
BK,PDC,Potomac Air
PW,PRF,Precision Air
TO,PSD,President Airlines
MO,AUH,Presidential Flight
FE,WCP,Primaris Airlines
8W,PWF,Private Wings Flugcharter
P6,PVG,Privilege Style Líneas Aéreas
P0,PFZ,Proflight Zambia
PB,SPR,Provincial Airlines
FV,PLK,Pulkovo Aviation Enterprise
QF,QFA,Qantas
QF,QLK,QantasLink
QF,QJE,QantasLink
QR,QTR,Qatar Airways
7H,RVF,Ravn Alaska
8L,RHC,Redhill Aviation
V4,REK,Reem Air
RX,RGE,Regent Airways
YS,RAE,Régional
FN,RGL,Regional Air Lines
ZL,RXA,Regional Express
P7,REP,*Regional Paraguaya*
3C,CEA,RegionsAir
QQ,ROA,*Reno Air*
RC,REP,Republic Airlines
RW,RPA,Republic Airways
RH,RPH,Republic Express Airlines
C7,RLE,Rico Linhas Aéreas
E2,GRN,*Rio Grande Air*
RL,RIO,Rio Linhas Aéreas
SL,RSL,Rio Sul Serviços Aéreos Regionais
V2,RBY,Vision Airlines
FV,SDM,Rossiya
GZ,RAR,Air Rarotonga
RR,RFR,Royal Air Force
RS,MJN,Royal Air Force of Oman
AT,RAM,Royal Air Maroc
R0,RPK,Royal Airlines
V5,RYL,Royal Aruban Airlines
BI,RBA,Royal Brunei Airlines
RJ,RJA,Royal Jordanian
RK,RCT,Skyview Airways
RK,RKH,Royal Khmer Airlines
RL,PPW,Royal Phnom Penh Airways
RR,RYS,Buzz (Ryanair)
WR,HRH,Royal Tongan Airlines
P7,ESL,Russian Sky Airlines
WB,RWD,Rwandair Express
7S,RCT,Ryan Air Services
RD,RYN,Ryan International Airlines
FR,RYR,Ryanair
RK,RUK,Ryanair UK
RT,BUG,UVT Aero
TR,TGW,Scoot
IJ,SJO,Spring Airlines Japan
6Y,ART,Smartlynx Airlines
QS,TVS,Smartwings
7O,TVL,Smartwings Hungary
3Z,TVP,Smartwings Poland
6D,TVQ,Smartwings Slovakia
E3,VGO,Sabaidee Airways
GG,KYE,Sky Lease Cargo
GW,SGR,SkyGreece Airlines
SH,SHA,Sharp Airlines
N9,SHA,Shree Airlines
7E,AWU,Sylt Air GmbH
OL,SZB,Samoa Air
S4,RZO,SATA International
SA,SAA,South African Airways
KV,SKV,Sky Regional Airlines
W7,SAH,Sayakhat Airlines
NL,SAI,Shaheen Air
MM,SAM,SAM Colombia
SK,SAS,Scandinavian Airlines
PI,SGU,Sol del Paraguay
UG,SEN,SevenAir
S7,SBI,S7 Airlines
Q7,SBM,SkyBahamas
BB,SBS,Seaborne Airlines
PV,SBU,St Barth Commuter
S5,SDG,Star Air (India)
JX,SJX,Starlux Airlines
K5,SQH,SeaPort Airlines
W3,SCL,Switfair Cargo
FP,AND,Servicios Aéreos de los Andes
SY,SCX,Sun Country Airlines
SG,SEJ,Spicejet
I6,SEQ,Sky Eyes
EH,SET,SAETA
7G,SFJ,Star Flyer
FA,SFR,Safair
N5,SGY,Skagway Air Service
HZ,SHU,Sakhalinskie Aviatrassy (SAT)
SP,SAT,SATA Air Acores
ZY,SHY,Sky Airlines
SQ,SIA,Singapore Airlines
5M,SIB,Sibaviatrans
SI,SIH,Skynet Airlines
3M,SIL,Silver Airways
XS,SIT,SITA
ZS,SMY,Sama Airlines
SQ,SQC,Singapore Airlines Cargo
FT,SRH,Siem Reap Airways
SX,SRK,Sky Work Airlines
SM,SRL,Swedline Express
D2,SSF,Severstal Air Company
VD,BBB,SwedJet Airways
QF,SSQ,Sunstate Airlines
5G,SSV,Skyservice Airlines
RE,STK,Stobart Air
FS,STU,Servicios de Transportes Aéreos Fueguinos
SD,SUD,Sudan Airways
PI,SUF,Sun Air (Fiji)
LW,FDY,Sun Air International
EZ,SUS,Sun Air of Scandinavia
SV,SVA,Saudia
WN,SWA,Southwest Airlines
A4,SWD,Southern Winds Airlines
WG,SWG,Sunwing Airlines
WQ,SWQ,Swift Air (Interstate Equipment Leasing)
LX,SWR,Swiss International Air Lines
SR,SWR,Swissair
SR,SDR,Sundair
LZ[59],SWU,Swiss Global Air Lines
WV,SWV,Swe Fly
S8,SWW,Shovkoviy Shlyah
Q4,SWX,Swazi Express Airways
WO,WSW,Swoop
S8,SWZ,Skywise Airline
XQ,SXS,SunExpress
RB,SYR,Syrian Arab Airlines
AL,SYX,Skywalk Airlines
ZP,AZQ,Silk Way Airlines
7L,AZG,Silk Way West Airlines
E5,BRZ,Samara Airlines
E5,RBG,Air Arabia Egypt
SC,CDG,Shandong Airlines
SK,CNO,SAS Braathens
9C,CQH,Spring Airlines
3U,CSC,Sichuan Airlines
FM,CSH,Shanghai Airlines
ZH,CSZ,Shenzhen Airlines
8C,CXI,Corendon Airlines Europe
7L,ERO,Sun D'Or
NE,ESK,SkyEurope
CQ,EXL,Sunshine Express Airlines
SO,HKA,Superior Aviation
KI,SJB,SKS Airways
TE,IGA,Skytaxi
JK,JKK,Spanair
RZ*,LRS,Sansa
2G*,MRR,San Juan Airlines
1Z,APD,Sabre Pacific
NK,NKS,Spirit Airlines
S0,OKS,Slok Air Gambia
SO,OSL,Sosoliso Airlines
VA,OZW,Virgin Australia Regional Airlines
1I,PZR,Sky Trek International Airlines
SX,SKB,Skybus Airlines
RU,SKI,SkyKing Turks and Caicos Airways
S3,BBR,Santa Barbara Airlines
XT,SKT,SkyStar Airways
H2,SKU,Sky Airline
OO,SKW,SkyWest Airlines
JZ,SKX,Skyways Express
BC,SKY,Skymark Airlines
LJ,SLA,Sierra National Airlines
MI,SLK,SilkAir
6Q,SLL,Slovak Airlines
PY,SLM,Surinam Airways
NB,SNB,Sterling Airlines
6J,SNJ,Solaseed Air
IE,SOL,Solomon Airlines
6W,SOV,Saratov Airlines Joint Stock Company
HZ,SOZ,Sat Airlines
SPL,Servicios Corporativos Aéreos De La Laguna,CORPORATIVOS LAGUNA
S5,TCF,Shuttle America
DV,VSV,Scat Air
O3,CSS,SF Airlines
PQ,SQP,SkyUp
S5,LLC,Small Planet Airlines
P7,LLP,Small Planet Airlines
P2,LLI,Small Planet Airlines
5P,LLX,Small Planet Airlines
UL,ALK,SriLankan Airlines
DJ,SRR,Star Air
V9,HCW,Star1 Airlines
Q4,TLK,Starlink Aviation
XG,SXD,Sunexpress Deutschland
SO,AAS,*Sunshine Airlines*
TC,ATC,Air Tanzania Company Limited
9L,TOW,AirTanker Services
DG,SRQ,Cebgo
LS,EXS,Jet2
1L,OSY,Open Skies Consultative Commission
2S,TGR,Satgur Air Transport
DT,DTA,TAAG Angola Airlines
VR,TCV,TACV
TI,TWI,Tailwind Airlines
PZ,LAP,TAM Mercosur
EQ,TAE,TAME
QT,TPA,TAMPA
TQ,TDM,Tandem Aero
TP,TAP,TAP Portugal
K3,TQN,Taquan Air Services
RO,ROT,Tarom
HJ,TMN,Tasman Cargo Airlines
SF,DTH,Tassili Airlines
T6,TVR,Tavrey Airlines
L6,VNZ,Tbilaviamsheni
L9,TLW,Teamline Air
U8,CYF,Tel Aviv Air
T2,TCG,Thai Air Cargo
FD,AIQ,Thai AirAsia
XJ,TAX,Thai AirAsia X
TG,THA,Thai Airways International
SL,TLM,Thai Lion Mentari
9I,LLR,Thai Sky Airlines
WE,THD,Thai Smile Airways
T9,TSX,Thai Star Airlines
VZ,TVJ,Thai Vietjet Air
HQ,TCW,Thomas Cook Airlines
MT,TCX,Thomas Cook Airlines
GS,GCR,Tianjin Airlines
3P,TNM,Tiara Air
TT,TGG,Tigerair Australia
TR,TGW,Tigerair Singapore
IT,TTW,Tigerair Taiwan
3V,TAY,TNT Airways
7T,TOB,Tobruk Air
TI,TOL,Tol-Air Services
TJ,GPD,Tradewind Aviation
TL,TMA,Trans Mediterranean Airlines
AX,LOF,Trans States Airlines
TW,TWA,Trans World Airlines
UN,TSO,Transaero Airlines
GE,TNA,TransAsia Airways
TO,TVF,Transavia France
HV,TRA,Transavia Holland
AL,TXC,TransAVIAexport Airlines
TR,TBA,Transbrasil
UE,TEP,Transeuropean Airlines
T9,TRZ,TransMeridian Airlines
TH,TSE,Transmile Air Services
TX,TAN,Transportes Aéreos Nacionales
OF,TML,Transports et Travaux Aériens de Madagascar
9T,ABS,Transwest Air
S5,TSJ,Trast Aero
GY,TMG,Tri-MG Intra Asia Airlines
T4,TIB,TRIP Linhas Aéreas
PM,TOS,Tropic Air
M7,TBG,Tropical Airways
BY,TOM,TUI Airways
TB,JAF,TUI fly Belgium
X3,TUI,TUI fly Deutschland
OR,TFL,TUI fly Netherlands
6B,BLX,TUI fly Nordic
TD,TLP,Tulip Air
UG,TUX,Tuninter
TU,TAR,Tunisair
3T,URN,Turan Air
TK,THY,Turkish Airlines
T5,TUA,Turkmenistan Airlines
TW,TWB,T'way Air
T7,TJT,Twin Jet
VO,TYR,Tyrolean Airways
U5,GWY,USA3000 Airlines
B7,UIA,UNI Air
UA,UAL,United Airlines
4H,UBD,United Airways
U7,JUS,USA Jet Airlines
U6,SVR,Ural Airlines
QU,UGA,Uganda Airlines (1976–2001)
UR,UGD,Uganda Airlines
UF,UKM,UM Airlines
6Z,UKS,Ukrainian Cargo Airways
OL,ULS,Ultra Air
5X,UPS,United Parcel Service
US,AWE,US Airways
BS,UBG,US-Bangla Airlines
UH,USH,US Helicopter
QU,UTN,UTair-Ukraine
UT,UTA,UTair Aviation
HY,UZB,Uzbekistan Airways
PS,AUI,Ukraine International Airlines
JW,VNL,Vanilla Air
VU,VAG,Vietravel Airlines
VB,VIV,VivaAerobus
VA,VOZ,Virgin Australia
VF,VLU,Valuair
J7,VJA,ValuJet Airlines
0V,VFC,Vietnam Air Services Company (VASCO)
VC,VAL,Voyageur Airways
VN,HVN,Vietnam Airlines
NN,MOV,VIM Airlines
Y4,VOI,Volaris
VI,VDA,Volga-Dnepr Airlines
VX,VRD,Virgin America
VJ,VJC,Vietjet Air
V4,VES,Vieques Air Link
TV,VEX,Virgin Express
VK,VGN,Virgin Nigeria Airways
VS,VIR,Virgin Atlantic
ZG,VVM,Viva Macau
VE,VLE,C.A.I. Second
VY,VLG,Vueling Airlines
XF,VLK,Vladivostok Air
LC,VLO,Varig Logística
VM,VOA,Viaggio Air
9V,VPA,Vipair Airlines
RG,VRN,Varig
VH,VVC,Viva Air Colombia
VP,VSP,VASP
V7,VOE,Volotea
VG,VLM,VLM Airlines
G6,WLG,Air Volga
UK,VTI,Vistara
WD,WDL,WDL Aviation
WT,WSG,Wasaya Airways
WH,WEB,WebJet Linhas Aéreas
2W,WLC,Welcome Air
WZ,WSF,West African Airlines
PT,SWN,West Air Sweden
YH,WCW,*West Caribbean Airways*
8O,YWZ,West Coast Air
WS,WJA,WestJet
ST*,STT,"Western Aircraft, Inc"
WA,WAL,Western Airlines
W7,KMR,*Western Pacific Airlines*
CN,WWD,Westward Airways
WF,WIF,Widerøe
WC,WAA,Wien Air Alaska
WL,WLS,Air Wales Virtual
IV,JET,Wind Jet
7W,QGA,Windrose Air
IW,WON,Wings Air
8Z,WVL,Wizz Air Bulgaria
W6,WZZ,Wizz Air
W9,WUK,Wizz Air UK
WO,WOA,World Airways
UI,CSW,SW Italia
WW,WOW,WOW air
8V,WRF,Wright Air Service
KW,WAN,Wataniya Airways
3W*,VNR,Wan Air
WR,WEN,WestJet Encore
MF,CXA,Xiamen Airlines
SE,SEU,XL Airways France
XN,XAR,XpressAir
YL,LLM,Yamal Airlines
R3,SYL,Yakutia Airlines
Y8,YZR,Suparna Airlines
Y0,EMJ,Yellow Air Taxi/Friendship Airways
IY,IYE,Yemenia
YT,NYT,Yeti Airlines
4Y,UYA,Yute Air Alaska
2N,UMK,Yuzhmashavia
Q3,MBN,Zambian Airways
3J,WZP,Zip
ZG,TZP,Zipair Tokyo
Z4,OOM,Zoom Airlines
